start_station_name,member_casual,number_of_rides
,casual,353854
,member,486385
10101 S Stony Island Ave,casual,6
111th St - Morgan Park Metra,casual,8
111th St - Morgan Park Metra,member,10
2112 W Peterson Ave,casual,421
2112 W Peterson Ave,member,647
410,casual,2
410,member,5
532 E 43rd St,casual,21
532 E 43rd St,member,19
63rd & Western Ave - north corner,casual,20
63rd & Western Ave - south corner,casual,6
63rd & Western Ave - south corner,member,7
63rd St Beach,casual,440
63rd St Beach,member,311
83rd St (Avalon Park) Metra,casual,2
900 W Harrison St,casual,3315
900 W Harrison St,member,9465
Abbott Park,casual,11
Abbott Park,member,2
Aberdeen St & Jackson Blvd,casual,3860
Aberdeen St & Jackson Blvd,member,9642
Aberdeen St & Monroe St,casual,3230
Aberdeen St & Monroe St,member,7039
Aberdeen St & Randolph St,casual,4159
Aberdeen St & Randolph St,member,7530
Ada St & 113th St,casual,43
Ada St & 113th St,member,14
Ada St & 117th St,casual,2
Ada St & 119th St,casual,2
Ada St & 119th St,member,2
Ada St & 79th St,casual,8
Ada St & 95th St,casual,1
Ada St & Washington Blvd,casual,3002
Ada St & Washington Blvd,member,5562
Adler Planetarium,casual,12142
Adler Planetarium,member,4903
Al Raby School,casual,2
Albany Ave & 103rd St,casual,3
Albany Ave & 103rd St,member,1
Albany Ave & 111th St - NW,casual,3
Albany Ave & 111th St - NW,member,3
Albany Ave & 16th St,casual,92
Albany Ave & 16th St,member,59
Albany Ave & 26th St,casual,202
Albany Ave & 26th St,member,152
Albany Ave & 63rd St,casual,28
Albany Ave & 63rd St,member,4
Albany Ave & Belmont Ave,casual,315
Albany Ave & Belmont Ave,member,282
Albany Ave & Bloomingdale Ave,casual,2396
Albany Ave & Bloomingdale Ave,member,3400
Albany Ave & Douglas Blvd,casual,43
Albany Ave & Douglas Blvd,member,12
Albany Ave & Montrose Ave,casual,845
Albany Ave & Montrose Ave,member,1558
Altgeld Gardens,casual,98
Altgeld Gardens,member,6
Archer (Damen) Ave & 37th St,casual,261
Archer (Damen) Ave & 37th St,member,325
Archer Ave & 43rd St,casual,114
Archer Ave & 43rd St,member,82
Archer Park,casual,14
Archer Park,member,1
Artesian Ave & 55th St,casual,183
Artesian Ave & 55th St,member,71
Artesian Ave & Hubbard St,casual,1203
Artesian Ave & Hubbard St,member,2908
Ashland Ave & 13th St,casual,638
Ashland Ave & 13th St,member,3190
Ashland Ave & 45th St,casual,4
Ashland Ave & 45th St,member,6
Ashland Ave & 45th St - midblock south,casual,8
Ashland Ave & 45th St - midblock south,member,2
Ashland Ave & 46th St,casual,4
Ashland Ave & 46th St,member,5
Ashland Ave & 50th St,casual,101
Ashland Ave & 50th St,member,137
Ashland Ave & 63rd St,casual,126
Ashland Ave & 63rd St,member,88
Ashland Ave & 66th St,casual,26
Ashland Ave & 66th St,member,38
Ashland Ave & 71st St,casual,3
Ashland Ave & 71st St,member,4
Ashland Ave & 73rd St,casual,2
Ashland Ave & 73rd St,member,1
Ashland Ave & 74th St,casual,76
Ashland Ave & 74th St,member,23
Ashland Ave & 76th St,casual,10
Ashland Ave & 76th St,member,1
Ashland Ave & 78th St,casual,89
Ashland Ave & 78th St,member,39
Ashland Ave & Archer Ave,casual,637
Ashland Ave & Archer Ave,member,933
Ashland Ave & Augusta Blvd,casual,2403
Ashland Ave & Augusta Blvd,member,5312
Ashland Ave & Belle Plaine Ave,casual,1715
Ashland Ave & Belle Plaine Ave,member,1951
Ashland Ave & Blackhawk St,casual,3584
Ashland Ave & Blackhawk St,member,6533
Ashland Ave & Chicago Ave,casual,2201
Ashland Ave & Chicago Ave,member,4189
