month,member_casual,number_of_rides,average_duration
Jan,casual,40005,22.91655835
Jan,member,150288,10.36210897
Feb,casual,43014,23.19359472
Feb,member,147422,10.71480127
Mar,casual,62194,21.4146855
Mar,member,196465,10.44285903
Apr,casual,147269,27.67576329
Apr,member,279285,11.69461237
May,casual,280387,30.87269512
May,member,354423,13.36743115
Jun,casual,369022,32.10152389
Jun,member,400116,14.00038826
Jul,casual,406013,29.28122519
Jul,member,417403,13.7193996
Aug,casual,717772,29.31318213
Aug,member,853938,13.38541932
Oct,casual,208961,26.39096275
Oct,member,349659,11.95992
Nov,casual,100742,21.30150765
Nov,member,236935,11.13251377
Dec,casual,44891,22.29105389
Dec,member,136901,10.6203411
