member_casual,weekday,rideable_type,number_of_rides,average_duration
casual,Sun,classic_bike,160348,31.14262084
casual,Sun,docked_bike,35053,133.8828883
casual,Sun,electric_bike,205276,17.94155511
casual,Mon,classic_bike,105698,28.32797294
casual,Mon,docked_bike,21756,123.9124985
casual,Mon,electric_bike,159583,15.46221036
casual,Tue,classic_bike,106335,27.13718829
casual,Tue,docked_bike,19340,125.4291529
casual,Tue,electric_bike,168868,14.33940839
casual,Wed,classic_bike,107405,25.67067595
casual,Wed,docked_bike,18391,120.453354
casual,Wed,electric_bike,176744,13.93685377
casual,Thu,classic_bike,114998,26.38022169
casual,Thu,docked_bike,19394,119.5072522
casual,Thu,electric_bike,180560,14.45573586
casual,Fri,classic_bike,128842,27.89440684
casual,Fri,docked_bike,24489,128.7021009
casual,Fri,electric_bike,197201,15.60459092
casual,Sat,classic_bike,190822,30.11637372
casual,Sat,docked_bike,38587,128.1782535
casual,Sat,electric_bike,240580,17.63003644
member,Sun,classic_bike,208237,15.34154521
member,Sun,electric_bike,201035,12.37034414
member,Mon,classic_bike,255330,13.19740662
member,Mon,electric_bike,244383,10.72274429
member,Tue,classic_bike,286590,13.32523838
member,Tue,electric_bike,277443,10.7829571
member,Wed,classic_bike,284836,13.14294331
member,Wed,electric_bike,287156,10.83857909
member,Thu,classic_bike,267905,13.36030135
member,Thu,electric_bike,273856,10.97602986
member,Fri,classic_bike,236710,13.60489354
member,Fri,electric_bike,247096,11.27928261
member,Sat,classic_bike,226302,15.38556008
member,Sat,electric_bike,225956,12.44467123
